MPG,CYLINDERS,DISPLACEMENT,HP,WEIGHT,ACCELERATION,YEAR,ORIGIN,NAME,WEIGHT_KG,EFFICIENCY,BRAND,NAME_UPPER
14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,1909.2024000000001,Poor,chevrolet,CHEVROLET IMPALA
14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,2024.8704,Poor,pontiac,PONTIAC CATALINA BROUGHAM
14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,1884.2544,Poor,ford,FORD GALAXIE 500
14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,1857.9456,Poor,plymouth,PLYMOUTH FURY III
12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),2247.588,Poor,dodge,DODGE MONACO (SW)
13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),2152.7856,Poor,ford,FORD COUNTRY SQUIRE (SW)
13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),2331.504,Poor,pontiac,PONTIAC SAFARI (SW)
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,1938.6864,Poor,chevrolet,CHEVROLET IMPALA
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,1989.036,Poor,pontiac,PONTIAC CATALINA
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,1875.636,Average,plymouth,PLYMOUTH FURY III
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,1872.9144000000001,Poor,ford,FORD GALAXIE 500
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,1665.6192,Average,amc,AMC AMBASSADOR SST
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,2101.5288,Poor,mercury,MERCURY MARQUIS
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,2042.1072,Poor,buick,BUICK LESABRE CUSTOM
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,2021.2416,Poor,oldsmobile,OLDSMOBILE DELTA 88 ROYALE
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,2005.8192,Poor,chrysler,CHRYSLER NEWPORT ROYAL
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),1765.4112,Average,amc,AMC MATADOR (SW)
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),1858.8528000000001,Poor,chevrolet,CHEVROLET CHEVELLE CONCOURS (SW)
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),1947.7584,Poor,ford,FORD GRAN TORINO (SW)
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),1849.3272,Poor,plymouth,PLYMOUTH SATELLITE CUSTOM (SW)
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,1859.76,Poor,buick,BUICK CENTURY 350
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,1665.6192,Poor,amc,AMC MATADOR
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,1808.9568,Poor,chevrolet,CHEVROLET MALIBU
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,1833.4512,Poor,ford,FORD GRAN TORINO
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,1713.2472,Average,dodge,DODGE CORONET CUSTOM
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,2246.2272,Poor,mercury,MERCURY MARQUIS BROUGHAM
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,2024.8704,Poor,chevrolet,CHEVROLET CAPRICE CLASSIC
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,1979.0568,Poor,ford,FORD LTD
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,1921.9032,Poor,plymouth,PLYMOUTH FURY GRAN SEDAN
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,2147.796,Poor,chrysler,CHRYSLER NEW YORKER BROUGHAM
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,2245.7736,Poor,buick,BUICK ELECTRA 225 CUSTOM
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,1733.2056,Poor,amc,AMC AMBASSADOR BROUGHAM
11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,2266.6392,Poor,chevrolet,CHEVROLET IMPALA
12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,2225.3616,Poor,ford,FORD COUNTRY
13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,2111.0544,Poor,plymouth,PLYMOUTH CUSTOM SUBURB
12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,2040.7464,Poor,oldsmobile,OLDSMOBILE VISTA CRUISER
15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,1851.5952,Average,chevrolet,CHEVROLET MONTE CARLO S
16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,1940.5008,Average,pontiac,PONTIAC GRAND PRIX
15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,1541.7864,Average,dodge,DODGE DART CUSTOM
11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,1661.9904,Poor,oldsmobile,OLDSMOBILE OMEGA
16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,1878.3576,Average,ford,FORD GRAN TORINO
13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),2131.4664,Poor,buick,BUICK CENTURY LUXUS (SW)
14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),2021.6952,Poor,dodge,DODGE CORONET CUSTOM (SW)
14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),2103.7968,Poor,ford,FORD GRAN TORINO (SW)
14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),1930.9752,Poor,amc,AMC MATADOR (SW)
16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,2117.4048,Average,pontiac,PONTIAC CATALINA
15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,2013.984,Average,chevrolet,CHEVROLET BEL AIR
16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,2040.2928,Average,plymouth,PLYMOUTH GRAND FURY
14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,2112.4152,Poor,ford,FORD LTD
20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,1461.0456,Average,chevrolet,CHEVROLET MONZA 2+2
13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,1437.4584,Poor,ford,FORD MUSTANG II
17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,1911.924,Average,chevrolet,CHEVROLET CHEVELLE MALIBU CLASSIC
16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,1900.584,Average,dodge,DODGE CORONET BROUGHAM
15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,1797.1632,Average,amc,AMC MATADOR
14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,1911.924,Poor,ford,FORD GRAN TORINO
13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth volare premier v8,1787.184,Poor,plymouth,PLYMOUTH VOLARE PREMIER V8
16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac seville,1986.768,Average,cadillac,CADILLAC SEVILLE
13.0,8,350.0,145.0,4055,12.0,76,usa,chevy c10,1839.348,Poor,chevy,CHEVY C10
13.0,8,302.0,130.0,3870,15.0,76,usa,ford f108,1755.432,Poor,ford,FORD F108
13.0,8,318.0,150.0,3755,14.0,76,usa,dodge d100,1703.268,Poor,dodge,DODGE D100
17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet caprice classic,1759.968,Average,chevrolet,CHEVROLET CAPRICE CLASSIC
17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile cutlass supreme,1841.616,Average,oldsmobile,OLDSMOBILE CUTLASS SUPREME
15.5,8,318.0,145.0,4140,13.7,77,usa,dodge monaco brougham,1877.904,Average,dodge,DODGE MONACO BROUGHAM
15.0,8,302.0,130.0,4295,14.9,77,usa,mercury cougar brougham,1948.212,Average,mercury,MERCURY COUGAR BROUGHAM
16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac grand prix lj,1914.192,Average,pontiac,PONTIAC GRAND PRIX LJ
15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet monte carlo landau,1889.244,Average,chevrolet,CHEVROLET MONTE CARLO LANDAU
15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba,1961.82,Average,chrysler,CHRYSLER CORDOBA
16.0,8,351.0,149.0,4335,14.5,77,usa,ford thunderbird,1966.356,Average,ford,FORD THUNDERBIRD
19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile cutlass salon brougham,1526.364,Average,oldsmobile,OLDSMOBILE CUTLASS SALON BROUGHAM
19.4,8,318.0,140.0,3735,13.2,78,usa,dodge diplomat,1694.196,Average,dodge,DODGE DIPLOMAT
20.2,8,302.0,139.0,3570,12.8,78,usa,mercury monarch ghia,1619.352,Average,mercury,MERCURY MONARCH GHIA
19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet monte carlo landau,1553.58,Average,chevrolet,CHEVROLET MONTE CARLO LANDAU
18.1,8,302.0,139.0,3205,11.2,78,usa,ford futura,1453.788,Average,ford,FORD FUTURA
17.5,8,318.0,140.0,4080,13.7,78,usa,dodge magnum xe,1850.688,Average,dodge,DODGE MAGNUM XE
17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet caprice classic,1741.824,Average,chevrolet,CHEVROLET CAPRICE CLASSIC
17.6,8,302.0,129.0,3725,13.4,79,usa,ford ltd landau,1689.66,Average,ford,FORD LTD LANDAU
16.5,8,351.0,138.0,3955,13.2,79,usa,mercury grand marquis,1793.988,Average,mercury,MERCURY GRAND MARQUIS
18.2,8,318.0,135.0,3830,15.2,79,usa,dodge st. regis,1737.288,Average,dodge,DODGE ST. REGIS
16.9,8,350.0,155.0,4360,14.9,79,usa,buick estate wagon (sw),1977.696,Average,buick,BUICK ESTATE WAGON (SW)
15.5,8,351.0,142.0,4054,14.3,79,usa,ford country squire (sw),1838.8944,Average,ford,FORD COUNTRY SQUIRE (SW)
19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw),1635.228,Average,chevrolet,CHEVROLET MALIBU CLASSIC (SW)
18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler lebaron town @ country (sw),1787.184,Average,chrysler,CHRYSLER LEBARON TOWN @ COUNTRY (SW)
23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac eldorado,1769.04,Average,cadillac,CADILLAC ELDORADO
23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile cutlass salon brougham,1551.312,Average,oldsmobile,OLDSMOBILE CUTLASS SALON BROUGHAM
26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile cutlass ls,1689.66,Good,oldsmobile,OLDSMOBILE CUTLASS LS
